terraform_resource,provider_name,azure_resource_type
azurerm_vpn_site,microsoft.network,vpnsites/site1
azurerm_web_app_active_slot,microsoft.web,"sites/site1"""
azurerm_web_application_firewall_policy,microsoft.network,applicationgatewaywebapplicationfirewallpolicies/example-wafpolicy
azurerm_windows_function_app,microsoft.web,sites/site1
azurerm_windows_virtual_machine,microsoft.compute,virtualmachines/machine1
azurerm_windows_virtual_machine_scale_set,microsoft.compute,virtualmachinescalesets/scaleset1
azurerm_windows_web_app,microsoft.web,sites/site1
azurerm_workloads_sap_discovery_virtual_instance,microsoft.workloads,sapvirtualinstances/vis1
azurerm_workloads_sap_single_node_virtual_instance,microsoft.workloads,sapvirtualinstances/vis1
azurerm_workloads_sap_three_tier_virtual_instance,microsoft.workloads,sapvirtualinstances/vis1
